,EN SOURCE TXT,Korean
801,Commercial-free,광고 없음
802,EVERY CALL.{0}EVERY GAME.{0}ALL POSTSEASON.,모든 콜.{0}모든 경기.{0}모든 포스트시즌.
803,When enabled album art will be blurred on the lock screen,활성화하면 잠금화면에서 앨범 아트가 흐리게 표시됩니다
804,Show album art on lock screen,잠금화면에서 앨범 아트 보기
805,New This Month,이번 달 신규
806,Can't Miss Episodes,놓치면 안되는 에피소드
807,Pop,팝
808,Find Your City,귀하의 도시 찾기
809,Listen Commercial-Free,광고 없이 들으세요
810,Listen Live,라이브로 들으세요
811,"After a wild first half of the season, the NFL schedule is heating up! ","격렬했던 시즌의 반이 지난 후, NFL 일정이 후끈 달아오르고 있습니다!"
812,Fixed Apple watch issue where app would crash when resuming playback.,Apple Watch에서 재생을 재개할 때 앱이 충돌했던 문제를 수정했습니다.
813,Fixed CarPlay bug where languages were incorrectly repeated and artwork would not load.,언어가 비정상적으로 반복되고 아트워크가 로드되지 않는 CarPlay 버그를 수정했습니다.
814,TODAY'S HOTTEST{0}LATIN ARTISTS{0}ALL IN ONE PLACE.,오늘의 가장 핫한{0}라틴 아티스트를{0}모두 한 곳에서.
815,"After your free trial ends, you will get Premium for {{discountPrice/}}/month. Feel free to add your credit card information at anytime during your trial from the Settings page.","무료 체험 기간이 종료되면, {{discountPrice/}}/월의 비용으로 프리미엄을 구독하시게 됩니다. 체험 시간 중 언제든 부담없이 설정 페이지에서 귀하의 신용카드 정보를 추가해 주시기 바랍니다."
816,"After your free trial ends, you will get Premium for {{discountPrice/}}/month (normally {{fullPrice/}}/month). Feel free to add your credit card information at anytime during your trial from the Settings page.","무료 체험 기간이 종료되면, {{discountPrice/}}/월의 비용으로 (원래 가격은 {{fullPrice/}}/월) 프리미엄을 구독하시게 됩니다. 체험 시간 중 언제든 부담없이 설정 페이지에서 귀하의 신용카드 정보를 추가해 주시기 바랍니다."
817,"After your free trial ends, you will get Premium for {{discountPrice/}}/year. Feel free to add your credit card information at anytime during your trial from the Settings page.","무료 체험 기간이 종료되면, {{discountPrice/}}/년의 비용으로 프리미엄을 구독하시게 됩니다. 체험 시간 중 언제든 부담없이 설정 페이지에서 귀하의 신용카드 정보를 추가해 주시기 바랍니다."
818,"After your free trial ends, you will get Premium for {{discountPrice/}}/year (normally {{fullPrice/}}/year). Feel free to add your credit card information at anytime during your trial from the Settings page.","무료 체험 기간이 종료되면, {{discountPrice/}}/년의 비용으로 (원래 가격은 {{fullPrice/}}/년) 프리미엄을 구독하시게 됩니다. 체험 시간 중 언제든 부담없이 설정 페이지에서 귀하의 신용카드 정보를 추가해 주시기 바랍니다."
819,Success! Your {{trialLength/}}-month free trial starts today.,성공입니다! 귀하의 {{trialLength/}}개월 무료 체험이 오늘 시작됩니다.
820,"Every NFL, MLB, NBA & NHL Game Live. Commercial-Free News & Music. Try TuneIn Premium for 7 days. Cancel anytime.	","모든 NFL, MLB 및 NHL 경기 라이브. 광고 없는 뉴스 및 음악. 7일 동안 TuneIn 프리미엄을 체험해 보세요. 언제든 취소하실 수 있습니다."
821,Top 5 MLB World Series Hopefuls,MLB 월드시리즈 유망 팀 탑5
822,Top 5 NFL Teams To Listen To This Week,이번 주에 청취할 NFL 팀 탑5
823,TuneIn's Top 5,TuneIn 선정 탑5
824,Talking About Mental Health,정신 건강 토크
825,LISTEN FREE IN APP,앱에서 무료로 듣기
826,"Found updates, do you want to download now?",업데이트가 있습니다. 지금 다운로드하시겠습니까?
827,Found Updates,업데이트가 있습니다
828,No,아니요
829,OK,확인
830,Yes,네
831,"There was a problem updating, please try again later.",업데이트 중 문제가 발생했습니다. 나중에 다시 시도하세요.
832,"Updates downloaded, application will restart after update.",업데이트가 다운로드되었습니다. 업데이트 후 앱이 재시작됩니다.
833,Install Updates,업데이트 설치
834,"Something went wrong, please try again later.",문제가 발생했습니다. 나중에 다시 시도하세요.
835,Current version is up-to-date.,현재 버전이 최신 버전입니다.
836,No Updates,업데이트 없음
837,Error,오류
838,Top 5 Radio Dramas on TuneIn,TuneIn 탑 5 라디오 드라마
839,TuneIn's Top 5,TuneIn 탑 5
840,More To Love: This Week's Top 25 Podcasts,추천 방송: 이번 주 탑 25 팟캐스트
841,"Adds ""Variable Speed Playback"" feature to allow you to control podcast playback speed","팟캐스트 재생 속도를 조절할 수 있게 해주는 ""재생 속도 조절"" 기능 추가"
842,HONORING HISPANIC{0}HERITAGE MONTH.{0}VIVA LA CULTURA.,히스패닉 문화유산의{0}달을 기념하며.{0}VIVA LA CULTURA.
843,Pick a file,파일 선택
844,Take shot,촬영
845,"Every NFL, MLB, NBA, NHL & College Game.{0}Commercial-Free MSNBC, FOX News Talk & CNBC.{0}150+ stations of commercial-free music.","모든 NFL, MLB, NBA, NHL 및 대학 경기.{0}광고 없는 MSNBC, FOX News 토크쇼 및 CNBC.{0}150개 이상의 광고 없는 음악 방송국."
846,Hear It All.{0}Live & Ad Free. Go Premium.,모두 들어보세요.{0}광고 없는 라이브 방송. 프리미엄에 가입하세요.
847,Horoscope Today,오늘의 운세
848,Local Coverage,지역 방송
849,Welcome To Pod Club,팟 클럽으로 오신 것을 환영합니다
850,The Best Interviewers,최고의 인터뷰어
851,The Hosts' Favorite Ep,호스트가 애정하는 에피소드
852,Craziest Thing From The Show,프로 최고의 순간
853,Biggest Creative Influences,최고로 창의적인 콘텐츠
854,The Hosts' Weirdest Interview,호스트 선정 가장 이상했던 인터뷰
855,Summer Chill,한여름의 한기
856,Podcasts,팟캐스트
857,Top 5 NFL Podcasts,NFL 팟캐스트 탑 5
858,TuneIn's Top 5,TuneIn 선정 연휴용 팟캐스트 탑 5
859,Stations For The Holiday,연휴를 위한 방송국
860,Podcasts for New Beginnings,새로운 시작을 위한 팟캐스트
861,New Podcasts for September,9월 신작 팟캐스트
862,National Coverage,전국 방송
863,More To Love: This Week's Top Sports Podcasts,모어 투 러브: 이번 주의 탑 스포츠 팟캐스트
864,"After a wild start to the season, the NFL schedule is heating up! With TuneIn you get wall to wall NFL coverage with every matchup, no blackouts, and the home call (or away call, if you’re into that) from your team’s announcer all season long.","치열했던 시즌 시작 후, NFL 경기 일정이 후끈 달아오르고 있습니다! TuneIn과 함께라면 모든 NFL 경기를 계속, 결방 없이, 시즌 내내 응원하시는 팀 아나운서의 홈 콜(또는 어웨이 콜, 이쪽을 선호하신다면)과 함께 들으실 수 있습니다. "
865,Fixed an issue where content metadata would not show when auto-restarted,자동 재시작 시에 컨텐츠 메타데이터가 보이지 않을 수 있는 문제를 수정하였습니다
866,Some updates for iOS 13,iOS 13 지원을 위한 일부 업데이트
867,LIVE COVERAGE.{0}INSTANT ANALYSIS.{0}LET'S DEBATE.,생방송 지원.{0}즉석 분석.{0}토론해 봅시다.
868,THE BIGGEST HITS{0}CHOSEN BY FANS.{0}COMMERCIAL-FREE.,최고의 히트곡{0}팬 선정.{0}광고 없음.
869,A NEW POD TO GROW{0}YOUR FINANCIAL IQ.{0}LISTEN NOW.,"""떠오르는 새 팟캐스트{0}귀하의 금융 IQ.{0}지금 들어보세요.   """
870,"Enjoy live play-by-play for every NFL, MLB, and NBA game, and exclusive commercial-free music stations curated by the industry’s best. If you love it, we have it.	","""모든 NFL, MLB 및 NBA 경기와 업계 최고의 전문가가 엄선한 광고 없는 독점 음악 방송국을 즐기세요. 마음에 드시나요, 저희가 제공해 드립니다.   """
871,Success! Your access to Premium starts today.,"“성공! 귀하의 프리미엄 사용이 오늘 시작됩니다.     """
872,Every Team. Every Call. No Black{0}Out Games. For Life.,모든 팀. 모든 콜. 결방 경기가{0}없습니다. 평생 동안.
873,Get Unlimited Access With,다음을 통해 무제한 사용 혜택을 받으세요:
874,Listen Commercial-Free,광고 없이 청취하세요
875,Who's ready for some FOOTBALL?! At TuneIn we've been waiting all summer for the start of the NFL season and now it's here! Catch the home call from your team's announcer every week of the season.,미식축구 즐길 준비 되셨나요? 모두들 TuneIn에서 여름 내내 기다려온 NFL 시즌이 드디어 시작됩니다! 시즌 동안 매주 응원하시는 팀 아나운서의 홈 콜을 들어보세요.
876,- Fixed a Chromecast crash on iOS 13,- iOS 13에서의 Chromecast 충돌 문제 수정
877,- Fixed various iOS 13 Bugs,- 다양한 iOS 13 버그 수정
878,Global Music Radio,글로벌 뮤직 라디오
879,Classical Music Month,클래식 음악의 달
880,Listen Commercial-Free,광고 없이 들으세요
881,Celebrating Classical Music Month,클래식 음악의 달 기념
882,POD CLUB.{0}DAN LE BATARD{0}& STUGOTZ.,팟 클럽.{0}DAN LE BATARD{0}& STUGOTZ.
883,Done,완료
884,Trim Silence,묵음 잘라내기
885,Customize audio playback from half speed to 3x using our new speed control setting.,새로운 속도 제어 설정을 이용해 음성 재생 속도를 1/2에서 3배까지 마음대로 조절하세요.
886,Redeem Your Offer,오퍼 사용하기
887,"LIVE MLB, NFL, NBA, NHL & College Games.{0}Commercial-Free MSNBC, FOX News Talk, & CNBC.{0}150+ stations of commercial-free music.","실시간 MLB, NFL, NBA, NHL 및 대학 게임.{0}광고 없는 MSNBC, FOX 뉴스 토크 및 CNBC.{0}150개 이상의 광고 없는 무료 음악 방송."
888,GET FOREVER ACCESS TO:,평생 이용 권한을 구매하세요:
889,Now: {{yearlyprice/}}/year {{s}}50% OFF{{/s}},현재: {{yearlyprice/}}/년 {{s}}50% 할인{{/s}}
890,Was: $9.99/month,과거: $9.99/월
891,Now: {{yearlyprice/}}/year {{s}}50% OFF{{/s}},현재: {{yearlyprice/}}/년 {{s}}50% 할일{{/s}}
892,Was: $99.99/year,과거: $99.99/년
893,Come Back & Get,다시 돌아와 구매하세요
894,LISTEN TO EVERY GAME.,모든 경기를 청취하세요.
895,LIVE & ON-DEMAND.,생중계 및 주문형 영상.
896,COMMERCIAL-FREE NEWS.,광고 없는 뉴스.
897,THE SOURCES YOU TRUST.,여러분이 신뢰하는 방송.
898,TOP PODCASTS.,탑 팟캐스트.
899,EVERY CATEGORY.,모든 카테고리.
900,RADIO FROM 197 COUNTRIES.,197개 국가의 라디오 방송.
901,LISTEN WITHOUT BORDERS.,국경 없이 청취하세요.
902,HAND-CURATED,손수 엄선한
903,MUSIC STATIONS.,음악 방송국.
904,YOUR TEAM.,당신의 응원 팀.
905,EVERY SPORT.,모든 스포츠.
906,EVERY GAME.,모든 경기.
907,Study Tunes,학습용 방송
908,National Radio Day,국가 라디오의 날
909,US Radio,미국 라디오
910,International Radio,세계 라디오
911,New Podcasts For August,8월의 신규 팟캐스트
912,Must-Listen Episodes,꼭 들어야될 에피소드
913,New This Month,이번달 신작
914,Sports Betting,스포츠 베팅
915,Find Your Team,귀하의 응원 팀을 찾으세요
916,Music For Back To School,신학기를 위한 음악
917,National Radio,전국 라디오
918,Local Radio,지역 라디오
919,Top US Stations,탑 미국 방송국
920,Top International Stations,탑 세계 방송국
921,Podcasts For A Great School Year,훌륭한 학교 생활을 위한 팟캐스트
922,Can't-Miss Episodes,놓치면 안될 에피소드
923,LOCAL & INTERNATIONAL NEWS.,지역 및 국제 뉴스.
924,THE SOURCES YOU TRUST.,믿을 수 있는 소식통.
925,MUSIC STATIONS.,음악 방송국.
926,EVERY GENRE.,모든 장르.
927,ALL YOUR LISTENING{0}WHEREVER YOU ROAM.{0}COMMERCIAL-FREE.,당신이 듣는 모든 것{0}당신이 가는 그 어디에서든.{0}광고 없이.
928,A LATIN STATION{0}FOR EVERY MOOD.{0}FIND YOURS.,어떤 기분에도 어울리는{0}라틴 방송.{0}당신의 음악을 찾아 보세요.
929,FOOTBALL SEASON{0}BEGINS HERE.{0}HEAR EVERY GAME.,미식 축구 시즌이{0}이곳에서 시작됩니다.{0}모든 게임을 청취하세요.
930,Confirm Password,비밀번호 확인
931,Monthly Subscription,월간 구독
932,Yearly Subscription,연간 구독
933,Top 5 Public Radio Stations,탑 5 공영 라디오 방송국
934,TuneIn's Top 5,TuneIn 탑 5
935,Top 5 Stations in The Netherlands,탑 5 네덜란드 방송국
936,Listen Now,지금 들으세요
937,Listen Commercial-Free,광고 없이 들으세요
938,2019 NFL Hall of Fame Game,2019 NFL 명예의 전당 게임
939,Non-Comm Radio,광고 없는 라디오
940,Best Road Trip Music Stations,베스트 로드 트립 음악 방송
941,NFL On-Demand,NFL 온 디맨드
942,Black History Podcasts,블랙 히스토리 팟캐스트
943,British Podcast Awards - Nominations,브리티시 팟캐스트 어워드 - 후보
944,Top Premier League Podcasts,탑 프리미어 리그 팟캐스트
945,Live Headlines,라이브 헤드라인
946,Science News,사이언스 뉴스
947,Best Supporting Actress Nominees,여우조연상 후보
948,Best Actor Nominees,남우주연상 후보
949,Give Me Some Space,쉴 곳이 필요해
950,More Parenting Podcasts,더욱 다양한 육아 팟캐스트
951,Conservative Personalities,보수 성향
952,Live State-by-State Coverage,라이브 스테이트 바이 스테이트 커버리지
953,Amor,아모르
954,Bonita,보니타
955,Join Our Pod Club,우리 팟 클럽에 가입하세요
956,LIVE PERFORMANCES{0}ALL WEEKEND FROM{0}NEWPORT FOLK FEST.,주말 내내{0}뉴포트 포크 페스티벌{0}라이브 공연.
957,Snoozing… %1$s,스누즈 중… %1$s
958,"To ensure continuous playback of your audio, go to the ""battery usage"" settings for TuneIn and make sure to remove ""background restrictions.""","오디오를 계속 재생하게 하려면, TuneIn의 “배터리 사용” 설정으로 가셔서, 반드시 “백그라운드 제한”을 해제하십시오."
959,Remove Background Restriction,백그라운드 제한 해제
960,"Thanks for contacting us! What can we help you with?\n\n––––––––––\nThe information below is included to help us help you. The info will only be used to help us answer your questions. For more information on how we protect your privacy, please visit:\n\n––––––––––\nTuneIn Radio %s %s (%d) - %s\nAndroid OS Version: %s (%d)\nDevice Model: %s %s\nTuneIn Serial: %s\nBackground Restricted: %b\n––––––––––\n\n","연락해주셔서 감사합니다! 무엇을 도와드릴까요?\n\n––––––––––\n아래의 정보는 저희가 귀하를 도와드리는데 참고하기 위한 것입니다. 해당 정보는 귀하에게 답변을 제공하기 위한 용도로만 사용됩니다. 저희의 개인정보 보호 정책에 대한 상세한 정보를 원하실 경우, 다음 페이지를 방문해 주십시오:\n\n––––––––––\nTuneIn Radio %s %s (%d) - %s\nAndroid OS 버전: %s (%d)\n기기 모델: %s %s\nTuneIn 시리얼: %s\n백그라운드 제한: %b\n––––––––––\n\n"
961,Listen Live,라이브 듣기
962,FA Cup,FA컵
963,New Podcasts for July,7월의 신규 팟캐스트
964,Must-Listen Episodes,꼭 들어야할 에피소드
965,New This Month,이번달 신곡
966,More To Love,모어 투 러브
967,The Mueller Testimony,뮬러 증언
968,Today's Top Music Events,오늘의 탑 뮤직 이벤트
969,Listen Commercial-Free,광고없이 듣기
970,GET MORE WITH THE NEW DESKTOP APP,새 데스크탑 앱으로 더욱 많은 혜택을 이용하세요
971,"The new TuneIn desktop app improves how you browse and discover content from all over the world, and enables you to seamlessly listen and save favorites across all of your devices.","새로운 TuneIn 데스크탑 앱이 더욱 편리하게 전 세계의 컨텐츠를 찾고 발견할 수 있게 해드리며, 귀하의 모든 기기에서 즐겨찾는 컨텐츠를 끊김 없이 듣고 저장하실 수 있게 해드립니다."
972,DOWNLOAD APP,앱 다운로드
973,Get more with the new TuneIn desktop app,새 데스크탑 앱으로 더욱 많은 혜택을 이용하세요
974,Download the app to improve browse and discovery of content as well as seamlessly listen across devices.,"앱을 다운로드해서 더욱 편리하게 컨텐츠를 찾고 발견하시고, 모든 기기에서 끊김 없이 청취하세요."
975,Click to download,클릭해서 다운로드
976,MICHELLE BUTEAU{0}& JORDAN CARLOS'{0}PODCAST PICKS.,MICHELLE BUTEAU와{0}JORDAN CARLOS{0}선정 팟캐스트.
977,"Thanks for contacting us! What can we help you with?\n\n––––––––––\nThe information below is included to help us help you. The info will only be used to help us answer your questions. For more information on how we protect your privacy, please visit:\n\n––––––––––\nTuneIn Radio %s %s (%d) - %s\nAndroid OS Version: %s (%d)\nDevice Model: %s %s\nTuneIn Serial: %s\n––––––––––\n\n	","""연락해 주셔서 감사합니다! 무엇을 도와드릴까요?\n\n––––––––––\n아래의 정보에는 저희가 귀하를 도와드리는데 도움이 되는 정보가 포함되어 있습니다. 해당 정보는 저희가 귀하의 문의에 답변을 드리는 용도로만 사용됩니다. 저희의 개인정보 보호에 대하여 상세한 정보가 필요하실 경우, 다음 페이지를 방문해 주세요:\n\n––––––––––\nTuneIn Radio %s %s (%d) - %s\n안드로이드 OS 버전: %s (%d)\n기기 모델: %s %s\nTuneIn 시리얼: %s\n––––––––––\n\n      """
978,TuneIn Radio for Android Support,Android 지원용 TuneIn Radio
979,Listen Live,실시간 듣기
980,Start from Beginning,처음부터 시작
981,"As this live event is already in progress, you have the option to listen live or start from the beginning. You can also jump to other moments of the stream by dragging the slider.	","""해당 라이브 이벤트가 이미 진행 중인 관계로, 실시간으로 듣거나 처음부터 시작할 수 있는 옵션이 제공됩니다. 슬라이드를 드래그해서 다른 시간대로 점프할 수도 있습니다.  """
982,Listen live or go to the start,실시간 듣기 또는 처음부터 시작
983,2019 MLB Home Run Derby,2019년 MLB 홈런 더비
984,NBA Summer League,NBA 써머 리그
985,A Pod That Inspired You,영감을 준 팟캐스트
986,Favorite Pod Interview,선호하는 팟캐스트 인터뷰
987,A Pod That Taught You,가르침을 준 팟캐스트
988,Favorite News Podcast,선호하는 뉴스 팟캐스트
989,Pod For Easy Listening,이지 리스닝 팟캐스트
990,NEWS YOU RELY ON.{0}OPINIONS YOU TRUST.{0}LISTEN NOW.,의지하시는 뉴스.{0}신뢰하시는 의견.{0}지금 들어보세요.
991,NEVER ENDING JAMS.,절대로 끝나지 않는 연주.
992,NO INTERRUPTIONS.,중간에 끼어들기가 없습니다.
993,Similar Podcasts,비슷한 팟캐스트
994,Welcome to Pod Club,팟 클럽에 오신 것을 환영합니다
995,Top 5 Interview Podcasts,탑5 인터뷰 팟캐스트
996,TuneIn's Top 5,TuneIn 탑5
997,Top 5 Online Music Stations,탑5 온라인 음악 방송국
998,Get Ready for Stranger Things,기묘한 이야기 시청을 준비하세요
999,2019 MLB All-Star Game,2019 MLB 올스타 게임
1000,Today's Top Music Events,오늘의 탑 뮤직 이벤트
1001,More To Love: This Week's Top 25 Podcasts,마음에 드실겁니다: 금주 탑25 팟캐스트
1002,The Music of Stranger Things w/ The Show's Composer,The Show의 작곡가와 함께하는 기묘한 이야기 음악
1003,"We made it easier to manage your subscription from the app. Go to the favorites tab, tap settings, then TuneIn Premium.","앱에서 구독을 더 쉽게 관리할 수 있도록 변경하였습니다. 즐겨찾기 탭으로 이동하신 후, 설정을 탭하시고, TuneIn Premium을 탭하세요."
1004,Enable the Waze integration,Waze 통합 사용
1005,Waze Navigation,Waze 내비게이션
1006,Something went wrong. Please retry or contact your provider.,알 수 없는 문제가 발생하였습니다. 다시 시도하시거나 공급자에게 문의해 주십시오.
1007,Inspired By Your Recents,최근 재생 콘텐츠를 참고한 추천
1008,You May Also Like,이 방송이 마음에 드실지도 모릅니다:
1009,Recommended For You,추천 콘텐츠
1010,Top 5 Music Podcasts,음악 팟캐스트 상위 5건
1011,TuneIn's Top 5,TuneIn의 상위 5건
1012,Top 5 Podcasts for Women's History Month,여성 역사의 달을 위한 팟캐스트 상위 5건
1013,Top 5 Food & Cooking Podcasts,음식 및 요리 팟캐스트 상위 5건
1014,Top 5 New Comedy Podcasts,신규 코미디 팟캐스트 상위 5건
1015,Podcasts for Pride Month,성소수자 인권의 달을 위한 팟캐스트
1016,Exclusive Country Stations,컨트리 전문 방송국
1017,Country Jams,컨트리 즉흥 연주
1018,Go Commercial-Free,광고 없이 듣기
1019,Music For Summer,여름을 위한 음악
1020,Top 10 Music Podcasts,음악 팟캐스트 상위 10건
1021,UEFA NATIONS L.,UEFA 네이션스리그
1022,UEFA Men's U21 Champions,UEFA 남자 U21 챔피언스
1023,AMERICA'S PASTIME{0}ANYWHERE YOU GO.{0}LET'S PLAY BALL!{0},미국의 인기 스포츠와{0}어디서든 함께하세요.{0}야구를 즐길 시간입니다!{0}
1024,KARA SWISHER{0}& SCOTT GALLOWAY'S{0}PODCAST PICKS.,KARA SWISHER와{0}SCOTT GALLOWAY가{0}선택한 팟캐스트 .
1025,Spotlighting LGBTQ+ Hosts,LGBTQ+ 호스트 집중 조명
1026,Join Our Pod Club,팟 클럽에 참여하세요
1027,New This Month,이번 달 신규
1028,Summer Picks,여름철 추천
1029,Listen Commercial-Free,광고 없이 듣기
1030,International Yoga Day,세계 요가의 날
1031,Listen Live,라이브로 듣기
1032,Listen Commercial-Free,광고 없이 듣기
1033,Top 5 Podcasts for Pride Month,성소수자 인권의 달을 위한 팟캐스트 상위 5개
1034,Top 5 UK Radio Station,영국 라디오 방송국 상위 5개
1035,Latin Mood & Activity,라틴 무드 및 액티비티
1036,Music to set the mood,분위기 조성을 위한 음악
1037,Listen commercial-free,광고 없이 듣기
1038,The Latest Interviews,최신 인터뷰
1039,Fourth Of July,미국 독립기념일
1040,Music For Independence Day,미국 독립기념일을 위한 음악
1041,Celebrate Commercial-Free,광고 없이 기념하세요
1042,Pod Club with Kara & Scott,Kara 그리고 Scott와 함께하는 팟 클럽
1043,Coppa Italia,코파 이탈리아
1044,More To Love: Top Talk Stations on TuneIn,마음에 드실지도 몰라요: TuneIn의 우수 토크 방송국
1045,Pod Club with Kara Swisher & Scott Galloway,Kara Swisher 그리고 Scott Galloway와 함께하는 팟 클럽
1046,Premium,프리미엄
1047,Manage Your Subscription,구독 관리
1048,Upgrade to Premium,프리미엄으로 업그레이드
1049,View Premium Content,프리미엄 콘텐츠 보기
1050,Just for Laughs,유머 한바탕
1051,Grupera,그루페라
1052,Asian Hits,"""       아시아 히트"""
1053,K-Pop,"""       K-Pop"""
1054,Spin the Globe,"""       지구를 돌리라"""
1055,Latest Celebrity News,최신 셀레브리티 뉴스
1056,British Podcast Awards - Winners,브리티시 팟캐스트 어워드 - 수상자
1057,Your Favourite Presenters,당신이 가장 사랑하는 사회자
1058,Reggae,레게
1059,News in Your Language,사용자 언어 뉴스
1060,International Public Radio,세계 공개 라디오 방송
1061,Top Talk Stations on TuneIn,TuneIn 최고 인기 토크 방송
1062,Top 5 Online Sports Radio Stations,탑 5 온라인 스포츠 라디오 방송
1063,Top 5 News & Politics Podcasts,탑 5 뉴스 및 정치 팟캐스트
1064,TuneIn's Top 5,TuneIn 탑 5
1065,Top 5 Business & Entrepreneurship Podcasts,탑 5 비즈니스 및 기업 팟캐스트
1066,Commercial-Free Summer Jams,광고 없는 썸머 잼
1067,Summer BBQ,여름 BBQ
1068,Pool Party Soundtrack,풀 파티 사운드트랙
1069,Summer Road Trip,여름 로드 트립
1070,Commercial-Free Summer,광고 없는 여름
1071,Summer Jams Without Ads,광고 없는 썸머 잼
1072,New Podcasts For June,6월의 신규 팟캐스트
1073,International Yoga Day,세계 요가의 날
1074,Music For Your Yoga Practice,요가 연습을 위한 음악
1075,Meditation Podcasts,명상 팟캐스트
1076,Must-Listen Episodes,꼭 들어야 하는 에피소드
1077,UEFA NATIONS L.,UEFA NATIONS L.
1078,U21 Champions,"""U21 챔피언즈       """
1079,Professional Fighters League,"""프로페셔널 파이터스 리그  """
1080,More To Love: This Week's Top 25 Podcasts,새로운 발견: 이번 주 탑 25 팟캐스트
1081,More To Love: Top Stations on TuneIn,새로운 발견: TuneIn 탑 방송
1082,Summer Jams Without Interruptions,방해 없는 썸머 잼
1083,Summer Binges,멈출 수 없는 여름
1084,Less Ads. More Flow.,광고는 덜고. 플로우는 더하고.
1085,Live Coverage,라이브 커버리지
1086,Listen Commercial-Free,광고 없는 방송 듣기
1087,More Podcasts From Crooked5544,Crooked5544 팟캐스트 더 듣기
1088,The NBA Finals are right around the corner! Catch every minute of the action on any device with TuneIn,NBA 결승전이 코앞으로 다가왔습니다! TuneIn과 함께 어떤 기기에서든 경기의 모든 순간을 함께하세요
1089,Thank you for using TuneIn! We update our app regularly to improve your experience by fixing bugs and increasing reliability. Here's what's new in version 16.1:,TuneIn을 이용해 주셔서 감사합니다! 저희는 버그를 수정하고 안정성을 향상시켜 여러분의 이용 경험을 개선하기 위해 앱을 정기적으로 업데이트합니다. 버전 16.1에서 추가된 사항은 다음과 같습니다:
1090,"You can now link your Waze and TuneIn accounts in a few easy steps to seamlessly and safely play all of your favorite audio, while you get your turn-by-turn directions",이제 간단한 몇 단계를 거쳐 Waze와 TuneIn 계정을 연결하실 수 있습니다. 내비게이션의 안내를 받으시는 동안 여러분이 좋아하시는 음악을 매끄럽고 안전하게 재생하실 수 있습니다
1091,"Enhanced the ""Contact Us"" so we can better diagnose issues","문제를 더 잘 진단할 수 있도록 ""연락처"" 기능을 개선하였습니다"
1092,Fixed signing in with Facebook,Facebook으로 로그인 기능을 수정하였습니다
1093,MENTAL HEALTH{0}AWARENESS MONTH.{0}LET'S TALK ABOUT IT.,정신 건강{0}인식의 달.{0}함께 이야기해 봅시다.
1094,MINOR LEAGUE.{0}MAJOR DRAMA.{0}LISTEN LIVE.,마이너리그.{0}장대한 드라마.{0}라이브로 듣기.
1095,YACHT ROCK GOLD{0}FOR SMOOTH SAILING.{0}FEEL THE BREEZE.,요트 록 골드{0}부드러운 항해를 위해.{0}산들바람을 느끼세요.
1096,ECLECTIC MUSIC.,익렉틱 뮤직.
1097,ONE PLACE.,하나의 장소.
1098,ONLY ON PREMIUM.,오직 프리미엄에서만.
1099,TWO PLAYOFFS.,"""두 플레이오프.       """
1100,Editors' Pick Podcasts,에디터가 선택한 팟캐스트
1101,Listen Commercial-Free,광고 없이 듣기
1102,Playoff Showdowns,플레이오프 쇼다운
1103,Stations for Your Mother's Day,어머니의 날을 위한 방송
1104,Listen Live,라이브로 듣기
1105,Listen Commercial-Free,광고 없이 듣기
1106,"NBA Playoffs are HERE! Experience every game, all post-season long with TuneIn.",NBA 플레이오프가 왔습니다! 모든 게임과 포스트시즌을 TuneIn과 함께 경험하세요.
1107,The MLB season is in full swing with surprising starts and plenty of home runs. Hear the home announcer calls of your favorite team here on TuneIn.,MLB 시즌이 놀라운 시작과 수많은 홈런으로 뜨거워지고 있습니다. 중계진이 여러분이 가장 좋아하는 팀을 부르는 것을 TuneIn에서 들어 보세요.
1108,Support for iPad mini 4 and iPad Air 3,iPad mini 4 및 iPad Air 3에 대한 지원
1109,THE INCREDIBLE FILM{0}HAS ITS OWN PODCAST.{0}HEAR IT FIRST.,걸작 영화가{0}전용 팟캐스트를 갖다.{0}가장 먼저 들으세요.
1110,NBA PLAYOFFS.{0}LISTEN LIVE.{0}GAME ON,NBA 플레이오프.{0}라이브로 들으세요.{0}경기 시작입니다
1111,Icon,아이콘
1112,Log in successful,로그인 성공
1113,Account created,계정 생성됨
1114,TuneIn Recommends,TuneIn 추천
1115,Stations,방송국
1116,New In April,4월 신규
1117,Can't-Miss New Seasons,놓칠 수 없는 새로운 시즌
1118,Must-Listen Episodes,꼭 들어봐야 할 에피소드
1119,April Premieres,4월의 신작
1120,"Bug fixes, crash fixes and improvements","버그 수정, 충돌 수정 및 개선사항 적용"
1121,VIBES FOR DAYS.{0}LISTEN IN.{0}CHILL OUT.,며칠 간 들을 음악.{0}들어보세요.{0}느긋함을 즐기세요.
1122,BUSINESS. MARKETS.{0}POLITICS. TECH.{0}HEAR THE LATEST.,비즈니스. 시장.{0}정치. 테크.{0}최신 소식을 들어보세요.
1123,HONORING WOMEN'S{0}HISTORY MONTH.{0}HEAR HERSTORY.,여성의 달을{0}기념합니다.{0}그녀들의 이야기를 들어보세요.
1124,Welcome Back! Go Premium for access to:,돌아오신 것을 환영합니다! 프리미엄으로 바꾸시고 다음을 이용하세요:
1125,"I understand I will still see ads, but they not be as relevant as to my interests.","저는 계속 광고를 보게 되지만, 저의 관심사와 관련이 없음을 이해합니다."
